"Step","DQfD_random_no_train - DQfD_1/score","DQfD_random_no_train - DQfD_1/score__MIN","DQfD_random_no_train - DQfD_1/score__MAX","DQfD_bad_data_under_100 - DQfD_1/score","DQfD_bad_data_under_100 - DQfD_1/score__MIN","DQfD_bad_data_under_100 - DQfD_1/score__MAX","DQfD_bad_data_100_to_300 - DQfD_1/score","DQfD_bad_data_100_to_300 - DQfD_1/score__MIN","DQfD_bad_data_100_to_300 - DQfD_1/score__MAX","DQfD_middle_300_400 - DQfD_1/score","DQfD_middle_300_400 - DQfD_1/score__MIN","DQfD_middle_300_400 - DQfD_1/score__MAX","DQfD_mixed_good_400_500 - DQfD_1/score","DQfD_mixed_good_400_500 - DQfD_1/score__MIN","DQfD_mixed_good_400_500 - DQfD_1/score__MAX","DQfD_perfect_data_500 - DQfD_1/score","DQfD_perfect_data_500 - DQfD_1/score__MIN","DQfD_perfect_data_500 - DQfD_1/score__MAX"
"452","34","34","34","500","500","500","500","500","500","200","200","200","11","11","11","500","500","500"
"453","24","24","24","144","144","144","213","213","213","252","252","252","9","9","9","313","313","313"
"454","37","37","37","88","88","88","318","318","318","156","156","156","9","9","9","325","325","325"
"455","34","34","34","86","86","86","266","266","266","455","455","455","10","10","10","358","358","358"
"456","23","23","23","337","337","337","402","402","402","164","164","164","9","9","9","312","312","312"
"457","24","24","24","150","150","150","470","470","470","343","343","343","11","11","11","385","385","385"
"458","28","28","28","259","259","259","223","223","223","401","401","401","10","10","10","248","248","248"
"459","64","64","64","500","500","500","270","270","270","259","259","259","8","8","8","242","242","242"
"460","63","63","63","388","388","388","382","382","382","152","152","152","9","9","9","303","303","303"
"461","51","51","51","500","500","500","500","500","500","145","145","145","10","10","10","324","324","324"
"462","54","54","54","314","314","314","248","248","248","312","312","312","10","10","10","273","273","273"
"463","60","60","60","279","279","279","226","226","226","285","285","285","10","10","10","500","500","500"
"464","68","68","68","341","341","341","235","235","235","255","255","255","8","8","8","464","464","464"
"465","93","93","93","201","201","201","352","352","352","232","232","232","10","10","10","231","231","231"
"466","71","71","71","226","226","226","500","500","500","500","500","500","10","10","10","390","390","390"
"467","36","36","36","280","280","280","235","235","235","489","489","489","11","11","11","306","306","306"
"468","54","54","54","231","231","231","237","237","237","367","367","367","9","9","9","471","471","471"
"469","74","74","74","391","391","391","500","500","500","242","242","242","9","9","9","392","392","392"
"470","230","230","230","427","427","427","369","369","369","158","158","158","11","11","11","500","500","500"
"471","169","169","169","236","236","236","500","500","500","200","200","200","46","46","46","343","343","343"
"472","159","159","159","313","313","313","178","178","178","420","420","420","100","100","100","394","394","394"
"473","292","292","292","183","183","183","366","366","366","198","198","198","8","8","8","290","290","290"
"474","71","71","71","209","209","209","233","233","233","458","458","458","10","10","10","288","288","288"
"475","236","236","236","218","218","218","225","225","225","249","249","249","10","10","10","454","454","454"
"476","180","180","180","225","225","225","500","500","500","218","218","218","24","24","24","379","379","379"
"477","106","106","106","454","454","454","258","258","258","210","210","210","58","58","58","343","343","343"
"478","87","87","87","287","287","287","253","253","253","225","225","225","20","20","20","309","309","309"
